project_key,outcome_type,outcome_date,outcome_date_precision,last_known_active_date,first_known_withdrawn_date,outcome_source,outcome_confidence
P::B::J407,operational,2015-12-01,day,,,Berkeley,high
P::B::J408,withdrawn,2016-06-30,day,,2020-12-31,Berkeley,high
P::B::J409,withdrawn,2015-07-17,day,,2020-12-31,Berkeley,high
P::B::J410,withdrawn,2016-09-14,day,,2020-12-31,Berkeley,high
P::B::J411,operational,2014-11-18,day,,,Berkeley,high
P::B::J412,operational,2019-10-01,day,,,Berkeley,high
P::B::J413,withdrawn,2016-09-13,day,,2020-12-31,Berkeley,high
P::B::J414,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J415,withdrawn,2018-10-12,day,,2020-12-31,Berkeley,high
P::B::J416,operational,2017-09-15,day,,,Berkeley,high
P::B::J417,withdrawn,2015-11-13,day,,2020-12-31,Berkeley,high
P::B::J419,withdrawn,2023-04-20,day,2022-12-31,2023-12-31,Berkeley,high
P::B::J420,withdrawn,2016-08-23,day,,2020-12-31,Berkeley,high
P::B::J421,withdrawn,2015-12-21,day,,2020-12-31,Berkeley,high
P::B::J422,withdrawn,2015-12-21,day,,2020-12-31,Berkeley,high
P::B::J423,withdrawn,2015-06-26,day,,2020-12-31,Berkeley,high
P::B::J424,withdrawn,2015-06-26,day,,2020-12-31,Berkeley,high
P::B::J425,withdrawn,2015-09-23,day,,2020-12-31,Berkeley,high
P::B::J426,operational,2018-09-15,day,,,Berkeley,high
P::B::J427,withdrawn,2015-01-23,day,,2020-12-31,Berkeley,high
P::B::J428,withdrawn,2016-08-30,day,,2020-12-31,Berkeley,high
P::B::J429,withdrawn,2017-03-09,day,,2020-12-31,Berkeley,high
P::B::J430,withdrawn,2016-04-26,day,,2020-12-31,Berkeley,high
P::B::J431,operational,2017-09-01,day,,,Berkeley,high
P::B::J432,operational,2019-09-01,day,,,Berkeley,high
P::B::J433,withdrawn,2015-04-29,day,,2020-12-31,Berkeley,high
P::B::J434,withdrawn,2017-06-08,day,,2020-12-31,Berkeley,high
