trial,pr_auc,use_l2,l1_ratio,C,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,n_features,goal
25,0.04210381175305404,False,0.5099497287832171,0.005451227933632428,1666.0,0.04141656662665066,0.5045737932536549,0.050351598258103154,0.10246214344074603,0.22956916218428294,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.04075810067250866,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.06480538006928876,0.008982035928143712,0.043478260869565216,0.21687060661286126,0.06480538006928876,1.0165934837766382,0.04141656662665066,ok,logistic_hpo_trial_25,val,85,below_strong
26,0.05037195672409937,False,0.713357808177576,0.09979018303861958,1666.0,0.04141656662665066,0.5664742769504414,0.08366399134350463,0.19628522321408845,0.325011070283813,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.07784431137724551,0.18840579710144928,1.8795452573114642,0.13603016099449766,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.16150397391481558,1.2162272449615879,0.04141656662665066,ok,logistic_hpo_trial_26,val,85,below_strong
27,0.03677403279541108,False,0.7495094724767932,2.623856188591357,1666.0,0.04141656662665066,0.4655150508653,0.09557165234878662,0.1904234447283124,0.3423665444207529,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.03464438557163236,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.12074587324230691,0.8879063570602155,0.04141656662665066,ok,logistic_hpo_trial_27,val,85,below_strong
28,0.04554034652581995,False,0.845008533511787,0.015558312255038594,1666.0,0.04141656662665066,0.5337907126586988,0.058408748549967,0.13545919237107765,0.2585287324365745,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0966985938455268,0.041916167664670656,0.10144927536231885,1.012062830860019,0.10688811901365397,0.023952095808383235,0.11594202898550725,0.5783216176342967,0.13093539841043408,1.0995683668408123,0.04141656662665066,ok,logistic_hpo_trial_28,val,85,below_strong
29,0.039602953207168,False,0.6700977606456976,0.6108911740921346,1666.0,0.04141656662665066,0.48783044295009664,0.08516457149535529,0.1756197676070815,0.3182635438134432,0.0,0.0,0.0,0.0,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.03592814371257485,0.17391304347826086,0.867482426451445,0.1513144487466884,0.9562104354078536,0.04141656662665066,ok,logistic_hpo_trial_29,val,85,below_strong
30,0.04903817801246954,False,0.8169278631851415,0.15778198420123993,1666.0,0.04141656662665066,0.5536876208107593,0.08596601905970656,0.19650565818066396,0.3280707615321964,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.034134909313226006,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.17169349908294274,1.1840232546199168,0.04141656662665066,ok,logistic_hpo_trial_30,val,85,below_strong
31,0.05006735798213633,False,0.5915698803490019,0.07547356221755645,1666.0,0.04141656662665066,0.567409000571724,0.0807386578125362,0.19112281095471903,0.3183866052091693,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.024964336661911554,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.16150397391481558,0.04491017964071856,0.21739130434782608,1.0843530330643063,0.16150397391481558,1.2088727304092628,0.04141656662665066,ok,logistic_hpo_trial_31,val,85,below_strong
32,0.04957473301878049,False,0.44360262492689045,0.05406218166776682,1666.0,0.04141656662665066,0.5665650268165855,0.07650766118035204,0.18204907959792063,0.30783553002546105,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.03515386183003872,0.0718562874251497,0.17391304347826086,1.73496485290289,0.11565111065824332,0.05089820359281437,0.2463768115942029,1.2289334374728804,0.1919706541675158,1.196978336366497,0.04141656662665066,ok,logistic_hpo_trial_32,val,85,below_strong
33,0.046964678544313125,False,0.6199599212252175,0.1838400303007586,1666.0,0.04141656662665066,0.5404199903805141,0.08706760786695247,0.1943672253070554,0.3285461649297601,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.0718562874251497,0.17391304347826086,1.73496485290289,0.13348277970246586,0.041916167664670656,0.2028985507246377,1.012062830860019,0.15640921133075197,1.1339587602148649,0.04141656662665066,ok,logistic_hpo_trial_33,val,85,below_strong
34,0.046151905440886765,True,,0.006833814186435834,1666.0,0.04141656662665066,0.5505839753886362,0.0684384253122469,0.16306377217324894,0.2869508687654046,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.02037905033625433,0.03592814371257485,0.08695652173913043,0.867482426451445,0.08090482983492969,0.05389221556886228,0.2608695652173913,1.3012236396771675,0.23272875484002445,1.1143344125292372,0.04141656662665066,ok,logistic_hpo_trial_34,val,85,below_strong
35,0.047924934955790935,False,0.6966677490755657,0.053403763000210935,1666.0,0.04141656662665066,0.5423620375159947,0.0772147103433387,0.18643927570411675,0.3120030667826306,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.04585286325657224,0.04790419161676647,0.11594202898550725,1.1566432352685934,0.10128388017118402,0.05688622754491018,0.2753623188405797,1.3735138418814545,0.2225392296718973,1.1571440816861986,0.04141656662665066,ok,logistic_hpo_trial_35,val,85,below_strong
36,0.0391893370844286,False,0.5715542951188577,0.6022976798999572,1666.0,0.04141656662665066,0.485262221738223,0.08559260366175286,0.17617489200819994,0.31925575550776586,0.0,0.0,0.0,0.0,0.041916167664670656,0.10144927536231885,1.012062830860019,0.07998777256979825,0.03592814371257485,0.17391304347826086,0.867482426451445,0.1513144487466884,0.9462237040964936,0.04141656662665066,ok,logistic_hpo_trial_36,val,85,below_strong
37,0.03627871980317576,True,,2.5088309083218574,1666.0,0.04141656662665066,0.4618759812329276,0.06778847125564329,0.1229428523246493,0.26963395001936535,0.0,0.0,0.0,0.0,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.03464438557163236,0.029940119760479042,0.14492753623188406,0.7229020220428708,0.12074587324230691,0.8759470607549396,0.04141656662665066,ok,logistic_hpo_trial_37,val,85,below_strong
