trial,pr_auc,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,min_data_in_leaf,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,dropped_features,n_features,goal
113,0.04551340298779609,5,0.13416567515477484,1.877481238492424,2.6485469489961027,4.203334100423497,200,26,1666.0,0.04141656662665066,0.5588149882478923,0.044036592947618525,0.02553754180623898,0.18772851310098906,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.012736906460158957,0.03592814371257485,0.08695652173913043,0.867482426451445,0.05145710209904218,0.041916167664670656,0.2028985507246377,1.012062830860019,0.13643774200122274,1.0989178170676563,0.04141656662665066,ok,catboost_hpo_trial_113,val,277,[],64,below_strong
114,0.09767903720443233,5,0.11677957748030109,1.2829571548160483,2.435832953205078,3.303080489117838,219,21,1666.0,0.04141656662665066,0.6729556323904422,0.040775991716081046,0.04078762794166991,0.1779504066419988,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.11707764418178113,0.10179640718562874,0.2463768115942029,2.457866874945761,0.18137354799266353,0.08682634730538923,0.42028985507246375,2.0964158639243253,0.3459343794579173,2.358453275109917,0.04141656662665066,ok,catboost_hpo_trial_114,val,67,[],64,below_strong
115,0.1026232744874465,5,0.11672554676128796,1.2826598111143077,2.4481742058082623,3.311198177185341,189,18,1666.0,0.04141656662665066,0.7579247320610202,0.042552191836873976,0.06129238812236911,0.18960655283712355,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.09292846953331975,0.11377245508982035,0.2753623188405797,2.747027683762909,0.19472182596291013,0.11676646706586827,0.5652173913043478,2.8193178859671963,0.4743223965763195,2.47783152603023,0.04141656662665066,ok,catboost_hpo_trial_115,val,35,[],64,below_strong
116,0.08779464615333754,5,0.11615601154240414,1.3429563330966348,2.8403003517281062,3.4175101789783664,188,18,1666.0,0.04141656662665066,0.7298058860363181,0.04300449856937771,0.05600306617863301,0.185838557704528,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.06154473201548808,0.08982035928143713,0.21739130434782608,2.1687060661286126,0.1574281638475647,0.09880239520958084,0.4782608695652174,2.385576672741474,0.38913796617077645,2.1197953694414546,0.04141656662665066,ok,catboost_hpo_trial_116,val,87,[],64,below_strong
117,0.08691240686075832,5,0.1293257957510522,1.2598220142799352,2.2472771037136354,3.939112177820217,220,22,1666.0,0.04141656662665066,0.727160527438222,0.04663114160078505,0.08098789249745965,0.20457633178826157,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.12991644589362136,0.10179640718562874,0.2463768115942029,2.457866874945761,0.21296107601385775,0.10179640718562874,0.4927536231884058,2.457866874945761,0.4206235989402894,2.098493765652513,0.04141656662665066,ok,catboost_hpo_trial_117,val,71,[],64,below_strong
118,0.05060100298733005,5,0.15060464592170109,1.561797361861355,2.9746815909933857,3.302211503472015,171,33,1666.0,0.04141656662665066,0.5557794052253773,0.045842022335954594,0.07107587676439192,0.2047945480841821,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.05655186468310577,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.14367230487059304,0.06287425149700598,0.30434782608695654,1.5180942462900286,0.2831669044222539,1.2217575503897373,0.04141656662665066,ok,catboost_hpo_trial_118,val,44,[],64,below_strong
119,0.10643860562410412,5,0.12027792743152692,1.8003912186493916,2.536141476858997,2.8498800360737926,213,28,1666.0,0.04141656662665066,0.706378808091258,0.04261803931836623,0.0601086822282412,0.18903219988042133,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.12635011208477684,0.11976047904191617,0.2898550724637681,2.891608088171483,0.2364988791522315,0.08982035928143713,0.43478260869565216,2.1687060661286126,0.42143876095373956,2.5699524198515578,0.04141656662665066,ok,catboost_hpo_trial_119,val,65,[],64,below_strong
120,0.09045282815696626,5,0.17731780520157064,1.438983802794678,2.5543191597241335,2.725499028996888,219,28,1666.0,0.04141656662665066,0.7161571061682683,0.04146446134228074,0.015898139065369712,0.16840579017088125,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.09822702262074587,0.11976047904191617,0.2898550724637681,2.891608088171483,0.275320970042796,0.09281437125748503,0.4492753623188406,2.2409962683328994,0.43937232524964337,2.1839769812971856,0.04141656662665066,ok,catboost_hpo_trial_120,val,239,[],64,below_strong
121,0.08770964651052501,5,0.1775290532869142,1.8175463033933157,2.5483073173943107,2.7542541329321217,220,29,1666.0,0.04141656662665066,0.6965052226547965,0.04573103159742711,0.08106383311663462,0.2062613684235393,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.09272467902995721,0.08383233532934131,0.2028985507246377,2.024125661720038,0.20684736091298145,0.09580838323353294,0.463768115942029,2.3132864705371867,0.4513959649480334,2.1177430592251403,0.04141656662665066,ok,catboost_hpo_trial_121,val,25,[],64,below_strong
122,0.09015380806846077,5,0.16878511052846362,1.437454254668648,2.7281331069450716,1.9886545408138783,197,27,1666.0,0.04141656662665066,0.697430871289465,0.043102608939611965,0.052292780228128145,0.18520970745635124,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.0708171999184838,0.09580838323353294,0.2318840579710145,2.3132864705371867,0.1571224780925209,0.10778443113772455,0.5217391304347826,2.602447279354335,0.45557367026696555,2.1767571629283426,0.04141656662665066,ok,catboost_hpo_trial_122,val,64,[],64,below_strong
