project_key,study_cycle,study_group,study_phase,upgrade_cost_usd,upgrade_cost_per_mw,capacity_mw,capacity_reduction_pct,restudy_flag,report_date,effective_date,available_date,entity_key,geographic_key,source_name,source_url,retrieved_at,match_method,match_confidence
P::J1075,DPP-2018-APR,East (ITC),GIA,,,350.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1075,ARGENTA WEEDS LAKE HIPLE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1076,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1076,VACHERIE SUB 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1077,DPP-2018-APR,East (ITC),GIA,,,250.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1077,ARGENTA WEEDS LAKE HIPLE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1078,DPP-2018-APR,South,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1078,SAN SOUCI 500KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1079,DPP-2018-APR,South,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1079,WATERFORD 1 2 230KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1080,DPP-2018-APR,Central,GIA,,,99.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1080,BROKAW CLINTON 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1081,DPP-2018-APR,West,GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1081,WINGER 115KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1082,DPP-2018-APR,West,GIA,,,400.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1082,ZACHARY 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1083,DPP-2018-APR,East (ITC),GIA,,,70.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1083,ONEIDA138KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1084,DPP-2018-APR,West,GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1084,ROCK CREEK 345KV SUBSTATION,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1085,DPP-2018-APR,East (ATC),GIA,,,300.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1085,GARDNER PARK J821 POI STONE LAKE 345KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1086,DPP-2018-APR,West,GIA,,,120.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1086,ELK BREWSTER 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1087,DPP-2018-APR,Central,GIA,,,200.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1087,MINER KELSO 161KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1088,DPP-2018-APR,East (ITC),GIA,,,150.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1088,CORNELL LAYTON 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1089,DPP-2018-APR,East (ITC),GIA,,,170.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1089,CORNELL BELL RD 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
P::J1090,DPP-2018-APR,East (ITC),GIA,,,90.0,0.0,,2026-03-01,2026-03-01,2026-03-01,P::J1090,TOMPKINS CHURCHILL JCT 138KV LINE TAP,Queue-derived study fields,,2026-09-05T04:35:51Z,snapshot_fields,1.0
