trial,pr_auc,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,n,positive_rate,roc_auc,brier,ece,log_loss,precision_at_5pct,recall_at_5pct,lift_at_5pct,withdrawn_mw_capture_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,withdrawn_mw_capture_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct,withdrawn_mw_capture_at_20pct,pr_lift,val_prevalence,status,model,split,best_iteration,added_features,join_note,n_features,goal
21,0.06330306786356843,0.010482327679830894,113,9,67,0.7594126937433104,0.6019098835441976,7.572989848772385e-06,8.479967337073933e-08,1666.0,0.04141656662665066,0.6230069060648135,0.046405254351537015,0.0821846895906373,0.21282101440164192,0.03571428571428571,0.043478260869565216,0.8623188405797102,0.030568575504381496,0.059880239520958084,0.14492753623188406,1.4458040440857416,0.11218667210108009,0.08083832335329341,0.391304347826087,1.9518354595157512,0.4000407581006725,1.528447986387029,0.04141656662665066,ok,lightgbm_hpo_trial_21,val,2,[],,85,below_strong
22,0.11696991644808669,0.014683595387850345,86,7,74,0.842305745621851,0.6530856216277524,2.920891590116253e-05,1.3175790151698608e-05,1666.0,0.04141656662665066,0.760311453540606,0.04604304979169473,0.08271258346106694,0.2110604508913365,0.10714285714285714,0.13043478260869565,2.5869565217391304,0.12482168330955777,0.15568862275449102,0.37681159420289856,3.7590905146229283,0.3654982677807214,0.1317365269461078,0.6376811594202898,3.180768896988632,0.5838597921336866,2.8242301565581514,0.04141656662665066,ok,lightgbm_hpo_trial_22,val,9,[],,85,below_strong
23,0.07288167385827186,0.014159242758237886,83,7,89,0.6742732403399295,0.6414580911253023,0.0031185075483284074,2.3895469205289145e-05,1666.0,0.04141656662665066,0.7134391476772571,0.0460593876305131,0.08086696495744322,0.21117349616726977,0.011904761904761904,0.014492753623188406,0.28743961352657005,0.007642143876095374,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.12787854085999592,0.0658682634730539,0.3188405797101449,1.590384448494316,0.30639902180558387,1.7597227340272599,0.04141656662665066,ok,lightgbm_hpo_trial_23,val,4,[],,85,below_strong
24,0.06790919763486106,0.018486061680296432,91,5,59,0.7686989407409895,0.6691924055951368,1.12043412219435e-06,4.166367730504064e-06,1666.0,0.04141656662665066,0.633361465791838,0.04653009361796306,0.0828043246768628,0.21338307665961725,0.047619047619047616,0.057971014492753624,1.1497584541062802,0.04534338699816588,0.0718562874251497,0.17391304347826086,1.73496485290289,0.14978601997146934,0.08083832335329341,0.391304347826087,1.9518354595157512,0.3422661503973915,1.63966265593737,0.04141656662665066,ok,lightgbm_hpo_trial_24,val,2,[],,85,below_strong
25,0.09049820954870555,0.014293326330596599,64,9,74,0.8530726286061605,0.6135161787199196,0.00044373666965713266,0.0001853426746670441,1666.0,0.04141656662665066,0.7580064069405497,0.045829097444364274,0.08048885323381913,0.21006922220957225,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.08151620134501732,0.0718562874251497,0.17391304347826086,1.73496485290289,0.19461993071122885,0.09880239520958084,0.4782608695652174,2.385576672741474,0.5013246382718566,2.185072711712224,0.04141656662665066,ok,lightgbm_hpo_trial_25,val,6,[],,85,below_strong
26,0.04417303197378735,0.02475496691408819,44,7,46,0.9416860695555195,0.7267255448835831,4.748573545961636e-08,0.0014135919659285484,1666.0,0.04141656662665066,0.5171834871543565,0.04657184738604139,0.08294165767247053,0.21358201170807145,0.023809523809523808,0.028985507246376812,0.5748792270531401,0.030568575504381496,0.017964071856287425,0.043478260869565216,0.4337412132257225,0.05094762584063583,0.03293413173652695,0.15942028985507245,0.795192224247158,0.1452007336458121,1.0665546560627497,0.04141656662665066,ok,lightgbm_hpo_trial_26,val,1,[],,85,below_strong
27,0.06246684512335156,0.03344625704142189,24,6,70,0.8364173367413742,0.6614581510218186,1.3636734067052716,3.1051031091941106e-05,1666.0,0.04141656662665066,0.633388690751681,0.046568624843136605,0.08322684424516671,0.2135245356802095,0.05952380952380952,0.07246376811594203,1.4371980676328502,0.05043814958222947,0.05389221556886228,0.13043478260869565,1.3012236396771675,0.10036682290605257,0.04790419161676647,0.2318840579710145,1.1566432352685934,0.22773588750764215,1.5082574489203435,0.04141656662665066,ok,lightgbm_hpo_trial_27,val,2,[],,85,below_strong
28,0.045134924557306555,0.013206323740043784,83,3,88,0.7748071435784015,0.7700472005795816,0.04314683422447962,2.0808584437831717e-06,1666.0,0.04141656662665066,0.530759667129491,0.046487975260242224,0.082416628899182,0.2132063897212748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.17391304347826086,0.867482426451445,0.17627878540859995,1.0897794827894598,0.04141656662665066,ok,lightgbm_hpo_trial_28,val,1,[],,85,below_strong
29,0.0739590859916007,0.029204989764770456,116,8,57,0.5597049780411141,0.5777684561526654,0.0006130698941317307,0.00932757995529237,1666.0,0.04141656662665066,0.6901754194912563,0.04865179893849266,0.04718289144262082,0.1920111072450487,0.07142857142857142,0.08695652173913043,1.7246376811594204,0.0891583452211127,0.08383233532934131,0.2028985507246377,2.024125661720038,0.19400855920114124,0.08083832335329341,0.391304347826087,1.9518354595157512,0.35459547585082535,1.7857367719131416,0.04141656662665066,ok,lightgbm_hpo_trial_29,val,537,[],,85,below_strong
30,0.055605435673090786,0.01995258294646688,66,5,63,0.6075290852011752,0.7026628374567414,3.150929614456185e-05,5.855605753357521e-06,1666.0,0.04141656662665066,0.5635975061936784,0.04654145344810343,0.0830227470181159,0.21344822987142836,0.09523809523809523,0.11594202898550725,2.2995169082125604,0.09680048909720806,0.0658682634730539,0.15942028985507245,1.590384448494316,0.13755858976971674,0.03293413173652695,0.15942028985507245,0.795192224247158,0.13755858976971674,1.3425892149473806,0.04141656662665066,ok,lightgbm_hpo_trial_30,val,1,[],,85,below_strong
