document_title,document_url,study_cycle,study_region,study_phase,document_type,report_date,report_date_source,discovery_method,discovered_at,object_id,filename,extension,process_stage,publish_date_meta,download_eligible
DPP 2018 APR West Central SPP Phase2 Final Report Public,https://cdn.misoenergy.org/DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public523268.pdf,DPP-2018-APR,West,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,523268,DPP_2018_APR_West-Central_SPP_Phase2_Final_Report_Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.592747Z,False
GI DPP 2019 West Phase1 System Impact Report PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC528746.pdf,2019 Cycle 1,West,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,528746,GI-DPP-2019-West-Phase1_System_Impact_Report_PUBLIC.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.43807Z,False
DPP 2017 FEB West Phase3 SPP AFS SIS Restudy Public,https://cdn.misoenergy.org/DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public530115.pdf,DPP-2017-FEB,West,Restudy,Restudy,,,optics_api_processstage,2026-09-05T05:53:28Z,530115,DPP-2017-FEB-West-Phase3-SPP-AFS-SIS-Restudy-Public.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.272669Z,False
GI DPP 2018 APRIL Central SIS Phase II Report - R04,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20II%20Report%20-%20R04527785.pdf,DPP-2018-APR,Central,Phase2,DPP Phase 2 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,527785,GI DPP 2018 APRIL Central SIS Phase II Report - R04.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:12.106271Z,False
GI DPP 2018 APR ATC Ph3 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC538962.zip,DPP-2018-APR,ATC,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,538962,GI-DPP-2018-APR-ATC-Ph3_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.899158Z,False
GI DPP 2017 August West Phase3 SIS Report Final Public,https://cdn.misoenergy.org/GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public552058.zip,DPP-2017-AUG,West,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,552058,GI-DPP-2017-August-West-Phase3_SIS_Report_Final_Public.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.749528Z,False
GI DPP 2020 Cycle ATC Ph1 System Impact Study Final PUBLIC 07122021,https://cdn.misoenergy.org/GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021570063.zip,2020 Cycle,ATC,Phase1,DPP Phase 1 System Impact Study,2021-07-12,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,570063,GI-DPP-2020-Cycle-ATC-Ph1_System_Impact_Study_Final_PUBLIC_07122021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T13:00:11.180061Z,True
GI DPP 2018 APRIL Central SIS Phase I Report - FINAL Rev2,https://cdn.misoenergy.org/GI%20DPP%202018%20APRIL%20Central%20SIS%20Phase%20I%20Report%20-%20FINAL%20Rev2408680.pdf,DPP-2018-APR,Central,Phase1,DPP Phase 1 System Impact Study,,,optics_api_processstage,2026-09-05T05:53:28Z,408680,GI DPP 2018 APRIL Central SIS Phase I Report - FINAL Rev2.pdf,pdf,Definitive Planning Phase (DPP),2025-05-16T13:00:08.076674Z,False
GI DPP 2020 ITC Ph1 System Impact Study Final PUBLIC 12142021,https://cdn.misoenergy.org/GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021611448.zip,2020 Cycle,Michigan,Phase1,DPP Phase 1 System Impact Study,2021-12-14,regex:%m%d%Y,optics_api_processstage,2026-09-05T05:53:28Z,611448,GI-DPP-2020-ITC-Ph1_System_Impact_Study_Final_PUBLIC_12142021.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.694408Z,True
GI DPP 2019 Cycle South Ph3 System Impact Study Final PUBLIC,https://cdn.misoenergy.org/GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC620153.zip,2019 Cycle 1,South,Phase3,DPP Phase 3 Final Study,,,optics_api_processstage,2026-09-05T05:53:28Z,620153,GI-DPP-2019-Cycle-South-Ph3_System_Impact_Study_Final_PUBLIC.zip,zip,Definitive Planning Phase (DPP),2025-05-16T12:59:15.553247Z,False
