project_key,start_date,stop_date,withdrawal_event,operation_event,queue_age_months,log1p_capacity_mw,technology_primary,is_hybrid,state_code,months_until_service,service_date_passed,capacity_change_pct,service_date_shift_months,years_since_last_change,other_active_projects_same_state,other_active_mw_same_state,other_active_projects_same_poi,other_active_mw_same_poi,other_active_mw_same_technology,prior_12m_withdrawal_count,prior_12m_withdrawn_mw,years_in_queue,study_phase,service_type,capacity_mw
P::J902,2024-12-31,2025-12-31,0,0,,4.6147243987929025,solar,0,AR,,0,-0.04000000000000625,,0.0,253.0,54097.1,0.0,0.0,241888.03,2331,440790.32,,IA Executed,NRIS,99.96
P::J902,2025-12-31,2026-03-01,0,0,102.50513347022587,4.6147243987929025,solar,0,AR,-75.9917864476386,1,0.0,,0.999315537303217,142.0,33337.98,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,NRIS,99.96
P::J902,2026-03-01,2027-03-01,0,0,104.47638603696099,4.6147243987929025,solar,0,AR,,0,0.0,,1.163586584531143,75.0,18497.1,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,NRIS,99.96
P::J903,2021-12-31,2022-12-31,0,0,54.50513347022587,4.61512051684126,solar,0,IN,-15.507186858316222,1,,,,145.0,24948.0,0.0,0.0,118228.8,2059,399153.61,4.542094455852156,,NRIS,100.0
P::J903,2022-12-31,2023-12-31,0,0,66.49691991786447,4.61512051684126,solar,0,IN,-27.498973305954827,1,0.0,0.0,,238.0,43062.0,0.0,0.0,228029.8,205,53410.8,5.541409993155373,,NRIS,100.0
P::J903,2023-12-31,2024-12-31,0,0,78.48870636550308,4.61512051684126,solar,0,IN,-39.49075975359343,1,0.0,0.0,,235.0,38985.0,0.0,0.0,189044.8,437,89321.64,6.54072553045859,IA Executed,NRIS,100.0
P::J903,2024-12-31,2025-12-31,0,0,,4.61512051684126,solar,0,IN,,0,0.0,,,278.0,48295.4,0.0,0.0,241788.03,2331,440790.32,,IA Executed,NRIS,100.0
P::J903,2025-12-31,2026-03-01,0,0,102.50513347022587,4.61512051684126,solar,0,IN,-32.03285420944559,1,0.0,,,181.0,41619.0,0.0,0.0,165306.85,1139,222351.24,8.542094455852157,Construction,NRIS,100.0
P::J903,2026-03-01,2027-03-01,0,0,104.47638603696099,4.61512051684126,solar,0,IN,-34.0041067761807,1,0.0,0.0,0.0,90.0,18691.7,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,NRIS,100.0
P::J904,2020-12-31,2021-12-31,0,0,,4.61512051684126,solar,0,AR,-15.540041067761807,1,,,,25.0,3292.0,0.0,0.0,66428.8,1781,358269.28,,,,100.0
P::J904,2021-12-31,2022-12-31,0,0,54.50513347022587,4.61512051684126,solar,0,AR,-27.531827515400412,1,0.0,0.0,,71.0,15351.0,0.0,0.0,118328.8,2059,399153.61,4.542094455852156,,NRIS,100.0
P::J904,2022-12-31,2023-12-31,0,0,66.49691991786447,4.61512051684126,solar,0,AR,-39.52361396303901,1,0.0,0.0,,204.0,45340.0,0.0,0.0,228129.8,205,53410.8,5.541409993155373,,NRIS,100.0
P::J904,2023-12-31,2024-12-31,0,0,78.48870636550308,4.61512051684126,solar,0,AR,-51.51540041067762,1,0.0,0.0,,191.0,37224.0,0.0,0.0,189144.8,437,89321.64,6.54072553045859,IA Executed,NRIS,100.0
P::J904,2024-12-31,2025-12-31,0,0,,4.61512051684126,solar,0,AR,,0,0.0,,,253.0,54097.1,0.0,0.0,241888.03,2331,440790.32,,IA Executed,NRIS,100.0
P::J904,2025-12-31,2026-03-01,0,0,102.50513347022587,4.61512051684126,solar,0,AR,-75.53182751540041,1,0.0,,,142.0,33337.98,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,NRIS,100.0
P::J904,2026-03-01,2027-03-01,0,0,104.47638603696099,4.61512051684126,solar,0,AR,,0,0.0,,,75.0,18497.1,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,NRIS,100.0
P::J905,2020-12-31,2021-01-29,1,0,42.51334702258727,3.713572066704308,solar,0,MN,-3.515400410677618,1,,,,49.0,7197.0,1.0,150.0,66388.8,1781,358269.28,3.542778918548939,In Progress,,40.0
P::J905,2021-12-31,2022-12-31,0,0,54.50513347022587,3.713572066704308,solar,0,MN,-15.507186858316222,1,0.0,0.0,0.0,69.0,8485.6,0.0,0.0,118328.8,2059,399153.61,4.542094455852156,,NRIS,40.0
P::J905,2022-12-31,2023-12-31,0,0,66.49691991786447,3.713572066704308,solar,0,MN,-27.498973305954827,1,0.0,0.0,0.999315537303217,102.0,14923.6,0.0,0.0,228129.8,205,53410.8,5.541409993155373,,NRIS,40.0
P::J905,2023-12-31,2024-12-31,0,0,78.48870636550308,3.713572066704308,solar,0,MN,-39.49075975359343,1,0.0,0.0,1.998631074606434,97.0,13485.6,0.0,0.0,189144.8,437,89321.64,6.54072553045859,Facility Study,NRIS,40.0
P::J905,2024-12-31,2025-12-31,0,0,,3.713572066704308,solar,0,MN,,0,0.0,,3.0006844626967832,152.0,24788.75,0.0,0.0,241888.03,2331,440790.32,,Cluster Study,NRIS,40.0
P::J905,2025-12-31,2026-03-01,0,0,102.50513347022587,3.713572066704308,solar,0,MN,-63.507186858316224,1,0.0,,4.0,155.0,28421.81,0.0,0.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,NRIS,40.0
P::J905,2026-03-01,2027-03-01,0,0,104.47638603696099,3.713572066704308,solar,0,MN,,0,0.0,,4.164271047227926,99.0,18401.9,0.0,0.0,62649.18,1202,238194.56,8.706365503080082,GIA,NRIS,40.0
P::J906,2020-12-31,2021-12-31,0,0,,4.61512051684126,wind_onshore,0,MI,-6.012320328542095,1,,,,85.0,11790.0,0.0,0.0,17866.6,1781,358269.28,,,,100.0
P::J906,2021-12-31,2022-12-31,0,0,54.50513347022587,4.61512051684126,wind_onshore,0,MI,-18.0041067761807,1,0.0,0.0,,141.0,21526.4,0.0,0.0,21851.6,2059,399153.61,4.542094455852156,,NRIS,100.0
P::J906,2022-12-31,2023-12-31,0,0,66.49691991786447,4.61512051684126,wind_onshore,0,MI,-29.9958932238193,1,0.0,0.0,,208.0,32959.4,0.0,0.0,32822.2,205,53410.8,5.541409993155373,,NRIS,100.0
P::J906,2023-12-31,2024-12-31,0,0,78.48870636550308,4.61512051684126,wind_onshore,0,MI,-41.987679671457904,1,0.0,0.0,,185.0,26646.4,0.0,0.0,31412.6,437,89321.64,6.54072553045859,IA Executed,NRIS,100.0
P::J906,2024-12-31,2025-12-31,0,0,,4.61512051684126,wind_onshore,0,MI,,0,0.0,,,301.0,47486.03,0.0,0.0,52488.84,2331,440790.32,,IA Executed,NRIS,100.0
P::J906,2025-12-31,2026-03-01,0,0,102.50513347022587,4.61512051684126,wind_onshore,0,MI,-66.00410677618069,1,0.0,,,287.0,56619.33,0.0,0.0,45562.49,1139,222351.24,8.542094455852157,IA Executed,NRIS,100.0
P::J906,2026-03-01,2027-03-01,0,0,104.47638603696099,4.61512051684126,wind_onshore,0,MI,,0,0.0,,,175.0,34493.09,0.0,0.0,27181.11,1202,238194.56,8.706365503080082,GIA,NRIS,100.0
P::J907,2021-12-31,2022-12-31,0,0,54.50513347022587,5.303304908059076,solar,0,AR,8.016427104722792,0,,,,70.0,15151.0,0.0,0.0,118128.8,2059,399153.61,4.542094455852156,,NRIS,200.0
P::J907,2022-12-31,2023-12-31,0,0,66.49691991786447,5.303304908059076,solar,0,AR,-3.975359342915811,1,0.0,0.0,,203.0,45140.0,1.0,50.0,227929.8,205,53410.8,5.541409993155373,,NRIS,200.0
P::J907,2023-12-31,2024-12-31,0,0,78.48870636550308,5.303304908059076,solar,0,AR,-15.967145790554415,1,0.0,0.0,,190.0,37024.0,2.0,250.0,188944.8,437,89321.64,6.54072553045859,IA Executed,NRIS,200.0
P::J907,2024-12-31,2025-08-15,1,0,,5.303304908059076,solar,0,AR,,0,0.0,,,252.0,53897.1,1.0,185.0,241688.03,2331,440790.32,,IA Executed,NRIS,200.0
P::J907,2025-12-31,2026-03-01,0,0,102.50513347022587,5.303304908059076,solar,0,AR,-43.006160164271044,1,0.0,,0.0,142.0,33337.98,1.0,185.0,165406.85,1139,222351.24,8.542094455852157,IA Executed,NRIS,200.0
