project_key,berkeley_project_id,miso_project_id,match_method,match_confidence,review_status,berkeley_capacity_mw,miso_capacity_mw,capacity_difference_mw,capacity_conflict_flag
P::J1060,J1060,J1060,exact_normalized_queue_id,1.0,accepted,500.0,500.0,0.0,False
P::J1061,J1061,J1061,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1062,J1062,J1062,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1063,J1063,J1063,exact_normalized_queue_id,1.0,accepted,195.0,195.0,0.0,False
P::J1064,J1064,J1064,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1065,J1065,J1065,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1066,J1066,J1066,exact_normalized_queue_id,1.0,accepted,44.0,44.0,0.0,False
P::J1067,J1067,J1067,exact_normalized_queue_id,1.0,accepted,240.0,240.0,0.0,False
P::J1068,J1068,J1068,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1069,J1069,J1069,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1070,J1070,J1070,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1071,J1071,J1071,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1072,J1072,J1072,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1073,J1073,J1073,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1074,J1074,J1074,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1075,J1075,J1075,exact_normalized_queue_id,1.0,accepted,350.0,350.0,0.0,False
P::J1076,J1076,J1076,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1077,J1077,J1077,exact_normalized_queue_id,1.0,accepted,250.0,250.0,0.0,False
P::J1078,J1078,J1078,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1079,J1079,J1079,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1080,J1080,J1080,exact_normalized_queue_id,1.0,accepted,99.0,99.0,0.0,False
P::J1081,J1081,J1081,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1082,J1082,J1082,exact_normalized_queue_id,1.0,accepted,400.0,400.0,0.0,False
P::J1083,J1083,J1083,exact_normalized_queue_id,1.0,accepted,70.0,70.0,0.0,False
P::J1084,J1084,J1084,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1085,J1085,J1085,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1086,J1086,J1086,exact_normalized_queue_id,1.0,accepted,120.0,120.0,0.0,False
P::J1087,J1087,J1087,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1088,J1088,J1088,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1089,J1089,J1089,exact_normalized_queue_id,1.0,accepted,170.0,170.0,0.0,False
P::J1090,J1090,J1090,exact_normalized_queue_id,1.0,accepted,90.0,90.0,0.0,False
P::J1091,J1091,J1091,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1092,J1092,J1092,exact_normalized_queue_id,1.0,accepted,100.0,100.0,0.0,False
P::J1093,J1093,J1093,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1094,J1094,J1094,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1095,J1095,J1095,exact_normalized_queue_id,1.0,accepted,300.0,300.0,0.0,False
P::J1096,J1096,J1096,exact_normalized_queue_id,1.0,accepted,150.0,150.0,0.0,False
P::J1097,J1097,J1097,exact_normalized_queue_id,1.0,accepted,500.0,500.0,0.0,False
P::J1098,J1098,J1098,exact_normalized_queue_id,1.0,accepted,40.0,40.0,0.0,False
P::J1099,J1099,J1099,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1100,J1100,J1100,exact_normalized_queue_id,1.0,accepted,200.0,200.0,0.0,False
P::J1101,J1101,J1101,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
P::J1102,J1102,J1102,exact_normalized_queue_id,1.0,accepted,70.0,70.0,0.0,False
P::J1103,J1103,J1103,exact_normalized_queue_id,1.0,accepted,20.0,20.0,0.0,False
